user_id,timestamp,page,product_id,session_id,source
user_164,2023-06-12 03:29:00,homepage,prod_4,sess_5506,paid_search
user_36,2023-06-04 22:57:00,add_to_cart,prod_4,sess_9935,social
user_9,2023-06-23 23:58:00,homepage,prod_1,sess_4811,organic
user_144,2023-06-20 02:13:00,add_to_cart,prod_7,sess_9928,paid_search
user_115,2023-06-08 06:23:00,product_view,prod_19,sess_1106,social
user_88,2023-06-05 15:38:00,homepage,prod_9,sess_6514,organic
user_98,2023-06-28 11:25:00,product_view,prod_4,sess_6635,email
user_12,2023-06-04 14:04:00,product_view,prod_15,sess_7201,email
user_161,2023-06-27 06:37:00,checkout,prod_20,sess_6925,paid_search
user_181,2023-06-14 04:05:00,homepage,prod_3,sess_4733,organic
user_60,2023-06-29 22:20:00,product_view,prod_4,sess_8428,email
user_42,2023-06-30 11:49:00,product_view,prod_12,sess_5374,organic
user_156,2023-06-08 10:28:00,product_view,prod_6,sess_5010,social
user_98,2023-06-15 18:12:00,confirmation,prod_9,sess_4598,organic
user_59,2023-06-13 04:26:00,checkout,prod_2,sess_7572,organic
user_55,2023-06-10 16:14:00,checkout,prod_19,sess_6155,social
user_102,2023-06-12 05:22:00,homepage,prod_15,sess_3287,email
user_192,2023-06-17 11:23:00,product_view,prod_19,sess_7543,paid_search
user_36,2023-06-05 23:45:00,product_view,prod_17,sess_1771,paid_search
user_161,2023-06-28 03:26:00,add_to_cart,prod_6,sess_7916,organic
user_99,2023-06-25 01:56:00,product_view,prod_13,sess_8668,email
user_142,2023-06-25 10:30:00,add_to_cart,prod_1,sess_2876,email
user_197,2023-06-08 04:45:00,homepage,prod_11,sess_8123,social
user_1,2023-06-24 02:31:00,confirmation,prod_9,sess_3927,organic
user_161,2023-06-28 17:09:00,checkout,prod_10,sess_9317,paid_search
user_40,2023-06-25 03:17:00,add_to_cart,prod_12,sess_9837,organic
user_154,2023-06-17 12:28:00,product_view,prod_11,sess_2832,email
user_62,2023-06-04 21:33:00,homepage,prod_2,sess_2290,social
user_18,2023-06-22 15:08:00,add_to_cart,prod_18,sess_3103,paid_search
user_68,2023-06-10 15:20:00,checkout,prod_17,sess_7932,paid_search
user_183,2023-06-20 22:31:00,product_view,prod_10,sess_7118,social
user_31,2023-06-01 22:58:00,homepage,prod_8,sess_6539,paid_search
user_151,2023-06-11 10:03:00,homepage,prod_8,sess_1964,organic
user_9,2023-06-13 16:10:00,homepage,prod_11,sess_4899,social
user_55,2023-06-12 01:25:00,homepage,prod_18,sess_8744,social
user_105,2023-06-17 02:59:00,homepage,prod_7,sess_8062,social
user_106,2023-06-30 17:44:00,checkout,prod_15,sess_1887,organic
user_16,2023-06-12 07:35:00,add_to_cart,prod_13,sess_2790,paid_search
user_49,2023-06-09 08:25:00,product_view,prod_18,sess_7912,email
user_119,2023-06-21 04:01:00,checkout,prod_8,sess_2235,organic
user_13,2023-06-11 18:11:00,checkout,prod_18,sess_2528,paid_search
user_105,2023-06-03 16:02:00,product_view,prod_16,sess_7570,paid_search
user_98,2023-06-21 16:59:00,confirmation,prod_1,sess_5345,email
user_109,2023-06-08 01:04:00,add_to_cart,prod_18,sess_8973,paid_search
user_76,2023-06-03 18:34:00,confirmation,prod_7,sess_9883,email
user_15,2023-06-25 04:07:00,product_view,prod_2,sess_9238,paid_search
user_15,2023-06-04 02:50:00,homepage,prod_17,sess_4044,organic
user_173,2023-06-27 08:20:00,product_view,prod_8,sess_5033,organic
user_159,2023-06-15 09:33:00,product_view,prod_3,sess_9565,email
user_53,2023-06-06 22:57:00,homepage,prod_11,sess_7484,email
user_118,2023-06-01 10:10:00,checkout,prod_11,sess_2188,social
user_160,2023-06-25 11:14:00,confirmation,prod_19,sess_2200,paid_search
user_130,2023-06-04 03:08:00,homepage,prod_9,sess_6718,paid_search
user_95,2023-06-14 18:25:00,homepage,prod_10,sess_9900,organic
user_171,2023-06-07 02:40:00,product_view,prod_18,sess_2697,email
user_30,2023-06-13 09:28:00,add_to_cart,prod_4,sess_3546,email
user_155,2023-06-29 20:45:00,add_to_cart,prod_7,sess_4335,email
user_130,2023-06-05 04:48:00,product_view,prod_16,sess_1832,social
user_71,2023-06-29 23:53:00,homepage,prod_2,sess_3143,email
user_42,2023-06-26 12:39:00,product_view,prod_15,sess_8007,organic
user_29,2023-06-25 19:55:00,checkout,prod_3,sess_3442,organic
user_95,2023-06-06 19:12:00,product_view,prod_19,sess_8041,organic
user_79,2023-06-17 06:49:00,checkout,prod_12,sess_1653,paid_search
user_175,2023-06-26 11:32:00,add_to_cart,prod_8,sess_6794,social
user_159,2023-06-08 09:29:00,checkout,prod_5,sess_4878,paid_search
user_106,2023-06-19 17:42:00,homepage,prod_1,sess_6442,paid_search
user_69,2023-06-18 09:50:00,add_to_cart,prod_6,sess_2771,organic
user_121,2023-06-16 21:55:00,homepage,prod_8,sess_8541,email
user_59,2023-06-19 03:13:00,homepage,prod_8,sess_4164,email
user_72,2023-06-16 23:32:00,confirmation,prod_3,sess_5573,social
user_174,2023-06-06 05:59:00,product_view,prod_18,sess_1452,email
user_46,2023-06-02 17:47:00,confirmation,prod_19,sess_5349,organic
user_153,2023-06-20 20:39:00,product_view,prod_14,sess_6139,organic
user_99,2023-06-20 20:17:00,homepage,prod_19,sess_1727,organic
user_134,2023-06-17 13:49:00,add_to_cart,prod_18,sess_4228,social
user_18,2023-06-14 16:01:00,add_to_cart,prod_11,sess_3041,email
user_171,2023-06-26 05:33:00,product_view,prod_14,sess_5844,paid_search
user_50,2023-06-08 22:05:00,add_to_cart,prod_14,sess_7211,email
user_104,2023-06-14 01:23:00,checkout,prod_18,sess_5978,paid_search
user_111,2023-06-22 03:53:00,add_to_cart,prod_19,sess_6279,social
user_114,2023-06-30 23:38:00,product_view,prod_7,sess_3780,organic
user_73,2023-06-05 06:00:00,add_to_cart,prod_17,sess_6491,paid_search
user_173,2023-06-07 16:56:00,homepage,prod_10,sess_4262,organic
user_12,2023-06-21 17:26:00,confirmation,prod_8,sess_2193,social
user_162,2023-06-23 11:59:00,homepage,prod_19,sess_7291,social
user_63,2023-06-05 20:25:00,add_to_cart,prod_5,sess_1090,social
user_57,2023-06-22 03:24:00,checkout,prod_6,sess_9486,organic
user_143,2023-06-21 18:34:00,checkout,prod_8,sess_2988,paid_search
user_119,2023-06-21 03:24:00,confirmation,prod_17,sess_6198,social
user_141,2023-06-21 11:35:00,checkout,prod_15,sess_8777,email
user_193,2023-06-24 17:23:00,checkout,prod_8,sess_5543,social
user_161,2023-06-14 00:05:00,product_view,prod_8,sess_2269,paid_search
user_70,2023-06-04 16:00:00,product_view,prod_11,sess_9849,paid_search
user_39,2023-06-10 17:41:00,product_view,prod_8,sess_3503,organic
user_107,2023-06-19 22:08:00,product_view,prod_14,sess_8633,organic
user_53,2023-06-27 04:48:00,product_view,prod_14,sess_1320,social
user_123,2023-06-18 17:58:00,checkout,prod_1,sess_5892,social
user_138,2023-06-23 05:16:00,add_to_cart,prod_18,sess_4613,paid_search
user_70,2023-06-16 07:08:00,product_view,prod_14,sess_7371,social
user_186,2023-06-29 07:40:00,checkout,prod_6,sess_3091,organic
user_101,2023-06-04 19:41:00,product_view,prod_19,sess_1444,social
user_35,2023-06-18 06:04:00,homepage,prod_15,sess_5262,email
user_55,2023-06-13 15:55:00,product_view,prod_15,sess_7211,social
user_65,2023-06-03 08:53:00,product_view,prod_3,sess_9837,email
user_58,2023-06-02 09:53:00,add_to_cart,prod_3,sess_1659,paid_search
user_52,2023-06-06 17:52:00,add_to_cart,prod_1,sess_4908,social
user_172,2023-06-22 03:56:00,product_view,prod_4,sess_4571,email
user_197,2023-06-08 10:52:00,homepage,prod_12,sess_2876,email
user_28,2023-06-27 04:55:00,homepage,prod_19,sess_6111,social
user_102,2023-06-05 15:18:00,homepage,prod_7,sess_4978,email
user_176,2023-06-16 19:14:00,checkout,prod_20,sess_1672,social
user_170,2023-06-01 13:49:00,homepage,prod_12,sess_6590,social
user_126,2023-06-29 22:13:00,product_view,prod_4,sess_6934,social
user_182,2023-06-30 14:28:00,product_view,prod_5,sess_9548,email
user_158,2023-06-20 19:45:00,add_to_cart,prod_18,sess_8616,email
user_83,2023-06-13 16:39:00,checkout,prod_8,sess_2419,social
user_63,2023-06-16 07:26:00,product_view,prod_15,sess_7209,organic
user_127,2023-06-17 03:33:00,homepage,prod_11,sess_4475,email
user_88,2023-06-26 07:04:00,checkout,prod_9,sess_5526,organic
user_133,2023-06-23 05:39:00,homepage,prod_7,sess_7658,paid_search
user_177,2023-06-21 09:31:00,add_to_cart,prod_16,sess_9041,organic
user_24,2023-06-14 22:27:00,homepage,prod_10,sess_4986,email
user_122,2023-06-26 01:10:00,product_view,prod_18,sess_7971,email
user_91,2023-06-11 11:48:00,product_view,prod_15,sess_5118,organic
user_185,2023-06-09 10:13:00,product_view,prod_7,sess_9779,paid_search
user_56,2023-06-28 03:51:00,product_view,prod_16,sess_9595,email
user_26,2023-06-09 03:59:00,product_view,prod_7,sess_6912,email
user_4,2023-06-03 11:33:00,homepage,prod_18,sess_1745,email
user_179,2023-06-05 16:03:00,add_to_cart,prod_5,sess_9042,organic
user_147,2023-06-16 12:08:00,product_view,prod_10,sess_8216,paid_search
user_14,2023-06-06 04:36:00,checkout,prod_9,sess_8827,organic
user_103,2023-06-07 21:43:00,homepage,prod_16,sess_1878,paid_search
user_145,2023-06-06 09:22:00,homepage,prod_10,sess_5066,social
user_156,2023-06-24 18:47:00,add_to_cart,prod_20,sess_4697,social
user_116,2023-06-14 21:33:00,product_view,prod_15,sess_8025,organic
user_157,2023-06-29 11:13:00,checkout,prod_4,sess_4404,paid_search
user_68,2023-06-26 02:55:00,homepage,prod_3,sess_3847,organic
user_41,2023-06-14 06:07:00,product_view,prod_1,sess_8699,organic
user_60,2023-06-04 05:44:00,add_to_cart,prod_10,sess_8438,paid_search
user_68,2023-06-20 08:21:00,add_to_cart,prod_19,sess_4241,organic
user_140,2023-06-07 11:21:00,add_to_cart,prod_8,sess_5352,organic
user_16,2023-06-20 23:40:00,add_to_cart,prod_6,sess_5728,organic
user_120,2023-06-23 18:38:00,add_to_cart,prod_10,sess_5460,social
user_113,2023-06-15 16:03:00,product_view,prod_3,sess_8078,email
user_7,2023-06-13 06:22:00,homepage,prod_3,sess_1339,organic
user_196,2023-06-13 15:49:00,product_view,prod_6,sess_8245,paid_search
user_150,2023-06-05 03:39:00,add_to_cart,prod_14,sess_9056,social
user_90,2023-06-08 07:39:00,product_view,prod_14,sess_2713,email
user_106,2023-06-26 00:51:00,product_view,prod_16,sess_7561,organic
user_117,2023-06-06 06:37:00,product_view,prod_3,sess_6296,social
user_132,2023-06-22 00:36:00,add_to_cart,prod_1,sess_9889,social
user_14,2023-06-29 11:06:00,product_view,prod_7,sess_9167,social
user_195,2023-06-06 23:06:00,homepage,prod_2,sess_9998,email
user_113,2023-06-08 04:59:00,homepage,prod_16,sess_4920,email
user_142,2023-06-11 05:25:00,product_view,prod_1,sess_2527,organic
user_119,2023-06-23 16:21:00,add_to_cart,prod_4,sess_3522,email
user_131,2023-06-22 11:47:00,product_view,prod_9,sess_8905,paid_search
user_117,2023-06-28 06:40:00,homepage,prod_18,sess_4122,paid_search
user_18,2023-06-16 11:14:00,add_to_cart,prod_9,sess_7798,email
user_1,2023-06-07 18:18:00,add_to_cart,prod_10,sess_9022,social
user_138,2023-06-18 04:00:00,product_view,prod_16,sess_9903,social
user_83,2023-06-27 00:33:00,confirmation,prod_7,sess_4912,social
user_60,2023-06-18 08:24:00,homepage,prod_14,sess_8749,social
user_170,2023-06-06 17:53:00,product_view,prod_5,sess_1606,email
user_26,2023-06-01 16:45:00,homepage,prod_15,sess_8486,paid_search
user_105,2023-06-16 09:47:00,homepage,prod_5,sess_5342,social
user_167,2023-06-18 07:04:00,checkout,prod_3,sess_9742,email
user_161,2023-06-29 02:25:00,checkout,prod_16,sess_1588,organic
user_61,2023-06-20 18:00:00,confirmation,prod_10,sess_2480,organic
user_195,2023-06-02 07:37:00,product_view,prod_4,sess_5906,organic
user_84,2023-06-20 14:25:00,product_view,prod_2,sess_7141,paid_search
user_63,2023-06-08 17:40:00,product_view,prod_17,sess_3950,paid_search
user_21,2023-06-23 15:35:00,checkout,prod_20,sess_4945,paid_search
user_60,2023-06-12 14:53:00,add_to_cart,prod_15,sess_8529,organic
user_120,2023-06-04 08:40:00,add_to_cart,prod_10,sess_3588,social
user_89,2023-06-12 09:10:00,product_view,prod_19,sess_7951,social
user_78,2023-06-05 20:29:00,confirmation,prod_7,sess_8916,paid_search
user_98,2023-06-14 10:28:00,product_view,prod_19,sess_5847,organic
user_169,2023-06-28 14:21:00,product_view,prod_13,sess_1803,social
user_74,2023-06-10 23:12:00,add_to_cart,prod_8,sess_6772,paid_search
user_159,2023-06-29 14:12:00,add_to_cart,prod_9,sess_3240,organic
user_161,2023-06-02 12:26:00,product_view,prod_2,sess_8222,email
user_188,2023-06-15 20:51:00,homepage,prod_5,sess_5835,social
user_45,2023-06-17 15:36:00,homepage,prod_7,sess_9837,email
user_43,2023-06-14 10:22:00,checkout,prod_9,sess_8894,email
user_30,2023-06-11 06:25:00,confirmation,prod_15,sess_3306,social
user_143,2023-06-01 15:12:00,homepage,prod_12,sess_7464,email
user_138,2023-06-27 14:29:00,product_view,prod_4,sess_5295,social
user_164,2023-06-22 10:58:00,homepage,prod_12,sess_4830,organic
user_159,2023-06-30 11:24:00,product_view,prod_18,sess_4626,organic
user_163,2023-06-30 13:08:00,checkout,prod_15,sess_5951,social
user_30,2023-06-14 20:26:00,homepage,prod_5,sess_1609,social
user_30,2023-06-07 04:10:00,homepage,prod_4,sess_9807,social
user_117,2023-06-20 01:47:00,add_to_cart,prod_12,sess_9850,paid_search
user_107,2023-06-13 17:33:00,checkout,prod_4,sess_7686,organic
user_177,2023-06-11 17:53:00,homepage,prod_12,sess_8285,email
user_26,2023-06-03 18:08:00,product_view,prod_12,sess_6876,social
user_71,2023-06-05 04:07:00,confirmation,prod_7,sess_8450,paid_search
user_165,2023-06-16 04:16:00,confirmation,prod_20,sess_1828,paid_search
user_33,2023-06-27 16:29:00,homepage,prod_19,sess_4394,paid_search
user_60,2023-06-13 14:51:00,add_to_cart,prod_11,sess_1046,paid_search
user_34,2023-06-06 00:04:00,product_view,prod_18,sess_3858,organic
user_34,2023-06-27 19:11:00,product_view,prod_1,sess_4898,email
user_5,2023-06-20 03:48:00,product_view,prod_6,sess_3076,organic
user_191,2023-06-24 08:35:00,product_view,prod_3,sess_6931,organic
user_116,2023-06-30 23:41:00,homepage,prod_17,sess_1710,email
user_118,2023-06-19 06:40:00,homepage,prod_1,sess_8847,social
user_176,2023-06-04 08:16:00,product_view,prod_4,sess_8267,organic
user_83,2023-06-13 12:23:00,homepage,prod_20,sess_3067,email
user_98,2023-06-24 00:11:00,product_view,prod_20,sess_8433,social
user_26,2023-06-20 13:45:00,checkout,prod_4,sess_4522,social
user_59,2023-06-19 03:31:00,product_view,prod_14,sess_8430,social
user_187,2023-06-12 14:24:00,product_view,prod_4,sess_6120,email
user_40,2023-06-05 05:49:00,homepage,prod_16,sess_2398,social
user_25,2023-06-27 16:34:00,checkout,prod_12,sess_1982,email
user_172,2023-06-03 08:11:00,product_view,prod_4,sess_7929,email
user_154,2023-06-10 16:22:00,product_view,prod_10,sess_9313,paid_search
user_169,2023-06-16 22:25:00,homepage,prod_16,sess_2773,email
user_30,2023-06-26 12:43:00,product_view,prod_9,sess_8030,organic
user_156,2023-06-15 01:29:00,homepage,prod_9,sess_5477,email
user_90,2023-06-26 18:34:00,homepage,prod_1,sess_3347,social
user_18,2023-06-05 04:13:00,add_to_cart,prod_5,sess_1502,paid_search
user_97,2023-06-17 20:11:00,product_view,prod_14,sess_3578,email
user_185,2023-06-03 09:27:00,add_to_cart,prod_11,sess_2391,paid_search
user_41,2023-06-13 09:12:00,homepage,prod_20,sess_2336,social
user_170,2023-06-19 20:23:00,product_view,prod_14,sess_8242,email
user_56,2023-06-06 01:07:00,homepage,prod_17,sess_8043,email
user_174,2023-06-03 01:36:00,product_view,prod_19,sess_6053,paid_search
user_102,2023-06-14 17:13:00,homepage,prod_20,sess_4349,paid_search
user_197,2023-06-15 22:23:00,add_to_cart,prod_5,sess_5742,organic
user_2,2023-06-06 21:06:00,add_to_cart,prod_16,sess_3878,social
user_137,2023-06-04 06:43:00,product_view,prod_8,sess_6802,social
user_190,2023-06-04 13:02:00,product_view,prod_2,sess_8532,email
user_148,2023-06-14 04:13:00,product_view,prod_14,sess_7843,organic
user_104,2023-06-29 03:09:00,confirmation,prod_1,sess_3815,social
user_177,2023-06-12 01:45:00,homepage,prod_12,sess_2734,social
user_151,2023-06-15 02:54:00,product_view,prod_13,sess_7484,email
user_57,2023-06-24 05:35:00,add_to_cart,prod_11,sess_2251,organic
user_136,2023-06-16 23:29:00,homepage,prod_17,sess_6724,paid_search
user_61,2023-06-08 21:30:00,homepage,prod_4,sess_4232,paid_search
user_195,2023-06-22 02:45:00,homepage,prod_3,sess_9095,social
